bank,family,kind,acc,chance,n_win,n_rec,secs,folds
DCASE-valve-anomaly,rqa,aug,0.2500,0.5000,80,16,9,0:0.600;1:0.200;2:0.000;3:0.200;4:0.800;5:0.000;6:0.000;7:0.200;8:0.000;9:0.800;10:0.400;11:0.400;12:0.000;13:0.200;14:0.000;15:0.200
DCASE-pump-id,rqa,lean,0.2917,0.2500,120,24,4,0:0.400;1:0.400;2:0.000;3:0.000;4:0.800;5:0.000;6:0.000;7:0.200;8:0.200;9:0.200;10:0.000;11:0.200;12:0.000;13:0.400;14:0.600;15:0.400;16:0.000;17:0.800;18:0.600;19:0.200;20:0.000;21:0.000;22:0.600;23:1.000
DCASE-pump-id,rqa,aug,0.3833,0.2500,120,24,14,0:0.000;1:0.200;2:0.200;3:0.000;4:0.000;5:0.000;6:0.200;7:0.200;8:0.000;9:0.600;10:0.000;11:0.000;12:0.800;13:1.000;14:1.000;15:0.600;16:0.000;17:1.000;18:1.000;19:0.600;20:0.000;21:0.000;22:0.800;23:1.000
DCASE-pump-anomaly,rqa,lean,0.3625,0.5000,80,16,2,0:0.000;1:0.400;2:0.000;3:0.400;4:0.600;5:0.200;6:0.600;7:0.200;8:1.000;9:0.400;10:0.200;11:0.600;12:0.600;13:0.000;14:0.200;15:0.400
DCASE-pump-anomaly,rqa,aug,0.4875,0.5000,80,16,11,0:0.000;1:0.400;2:0.200;3:0.800;4:0.600;5:0.200;6:0.200;7:0.800;8:0.600;9:0.400;10:0.200;11:0.600;12:0.800;13:0.600;14:0.400;15:1.000
IMS-fault,rqa,lean,0.6094,0.5000,192,12,2,1st-b0:0.625;1st-b1:0.812;1st-b2:0.375;1st-b3:0.312;2nd-b0:0.000;2nd-b1:0.938;2nd-b2:0.625;2nd-b3:0.812;4th-b0:0.875;4th-b1:0.875;4th-b2:0.062;4th-b3:1.000
IMS-fault,rqa,aug,0.6771,0.5000,192,12,19,1st-b0:0.938;1st-b1:0.812;1st-b2:0.625;1st-b3:0.375;2nd-b0:0.125;2nd-b1:1.000;2nd-b2:0.438;2nd-b3:1.000;4th-b0:0.875;4th-b1:0.750;4th-b2:0.188;4th-b3:1.000
SEIS-depth,rqa,lean,0.6875,0.5000,128,16,3,0:1.000;1:0.250;2:0.500;3:1.000;4:0.875;5:1.000;6:1.000;7:0.250;8:0.375;9:0.250;10:1.000;11:0.750;12:0.375;13:0.750;14:0.875;15:0.750
SEIS-depth,rqa,aug,0.7734,0.5000,128,16,15,0:1.000;1:0.500;2:0.750;3:1.000;4:0.875;5:1.000;6:1.000;7:0.000;8:1.000;9:0.875;10:0.625;11:0.625;12:0.625;13:0.875;14:0.875;15:0.750
GRIDFREQ-area,rqa,lean,0.5365,0.1667,192,24,6,0:1.000;1:1.000;2:1.000;3:1.000;4:0.500;5:0.125;6:0.875;7:0.500;8:0.375;9:0.250;10:0.000;11:0.500;12:0.750;13:1.000;14:1.000;15:0.375;16:0.875;17:0.375;18:0.000;19:0.250;20:0.375;21:0.250;22:0.500;23:0.000
GRIDFREQ-area,rqa,aug,0.6250,0.1667,192,24,21,0:1.000;1:1.000;2:1.000;3:1.000;4:0.375;5:0.125;6:0.500;7:0.375;8:0.625;9:0.250;10:0.125;11:0.750;12:1.000;13:0.375;14:0.875;15:1.000;16:0.750;17:0.875;18:0.000;19:0.750;20:0.875;21:0.375;22:1.000;23:0.000
GAS-id,rqa,lean,0.1208,0.2500,240,20,4,0:0.083;1:0.083;2:0.083;3:0.167;4:0.083;5:0.000;6:0.000;7:0.167;8:0.083;9:0.167;10:0.083;11:0.083;12:0.083;13:0.250;14:0.083;15:0.333;16:0.167;17:0.000;18:0.167;19:0.250
GAS-id,rqa,aug,0.0708,0.2500,240,20,25,0:0.000;1:0.000;2:0.000;3:0.250;4:0.000;5:0.000;6:0.083;7:0.083;8:0.000;9:0.000;10:0.000;11:0.000;12:0.167;13:0.000;14:0.083;15:0.417;16:0.167;17:0.000;18:0.167;19:0.000
VOLCANO-eruption,rqa,lean,0.7667,0.5000,120,15,3,0:1.000;1:0.875;2:1.000;3:0.750;4:0.000;5:1.000;6:0.000;7:1.000;9:0.625;10:1.000;11:1.000;12:1.000;13:1.000;14:1.000;15:0.250
VOLCANO-eruption,rqa,aug,0.6167,0.5000,120,15,16,0:0.875;1:1.000;2:1.000;3:0.750;4:0.000;5:1.000;6:0.000;7:0.000;9:0.500;10:1.000;11:1.000;12:1.000;13:1.000;14:0.000;15:0.125
HYD-valve,coherence,lean,0.1979,0.2500,96,24,5,0:0.250;1:0.500;2:0.250;3:0.250;4:0.500;5:0.250;6:0.000;7:0.500;8:0.250;9:0.500;10:0.250;11:0.250;12:0.000;13:0.000;14:0.000;15:0.000;16:0.000;17:0.000;18:0.000;19:0.250;20:0.250;21:0.000;22:0.250;23:0.250
HYD-valve,coherence,aug,0.2188,0.2500,96,24,11,0:0.250;1:0.500;2:0.250;3:0.250;4:0.500;5:0.000;6:0.000;7:0.500;8:0.500;9:0.250;10:0.500;11:0.500;12:0.000;13:0.250;14:0.250;15:0.000;16:0.000;17:0.000;18:0.250;19:0.000;20:0.250;21:0.000;22:0.250;23:0.000
HYD-accumulator,coherence,lean,0.2188,0.2500,96,24,6,0:0.500;1:0.250;2:0.250;3:0.000;4:0.250;5:0.250;6:0.000;7:0.250;8:0.000;9:0.000;10:0.250;11:0.000;12:0.250;13:0.000;14:0.000;15:0.000;16:0.000;17:0.500;18:0.000;19:0.750;20:0.500;21:0.500;22:0.500;23:0.250
HYD-accumulator,coherence,aug,0.1771,0.2500,96,24,9,0:0.250;1:0.250;2:0.000;3:0.250;4:0.000;5:0.000;6:0.000;7:0.250;8:0.000;9:0.250;10:0.000;11:0.000;12:0.000;13:0.000;14:0.250;15:0.000;16:0.000;17:0.000;18:0.250;19:0.750;20:0.500;21:0.750;22:0.250;23:0.250
GAS-id,coherence,lean,0.3000,0.2500,159,20,3,0:0.250;1:0.000;2:0.125;3:0.375;4:0.625;5:0.000;6:0.250;7:0.500;8:0.250;9:0.250;10:0.000;11:0.625;12:0.500;13:0.000;14:0.375;15:0.500;16:0.500;17:0.000;18:0.375;19:0.500
GAS-id,coherence,aug,0.4473,0.2500,159,20,16,0:0.500;1:0.000;2:0.250;3:0.375;4:0.500;5:0.625;6:0.500;7:0.500;8:0.250;9:0.625;10:0.500;11:0.500;12:0.375;13:0.500;14:0.375;15:0.500;16:0.500;17:0.571;18:0.500;19:0.500
