bank,variant,acc,chance,n_win,n_rec,secs,folds
MFPT,pool16,0.3813,0.3333,3718,20,6,0:0.217;1:0.154;2:0.524;3:0.580;4:0.594;5:0.273;6:0.175;7:0.210;8:0.238;9:0.301;10:0.203;11:0.259;12:0.392;13:0.622;14:0.664;15:0.629;16:0.608;17:0.587;18:0.203;19:0.192
MFPT,even_sub,0.5238,0.3333,3718,20,6,0:0.615;1:0.552;2:0.633;3:0.594;4:0.497;5:0.514;6:0.455;7:0.517;8:0.483;9:0.490;10:0.455;11:0.262;12:0.469;13:0.573;14:0.573;15:0.580;16:0.629;17:0.524;18:0.542;19:0.517
MFPT,peak_sub,0.6857,0.3333,3718,20,6,0:0.734;1:0.727;2:0.962;3:0.650;4:0.448;5:0.696;6:0.615;7:0.573;8:0.622;9:0.699;10:0.664;11:0.182;12:0.612;13:0.832;14:0.832;15:0.832;16:0.860;17:0.671;18:0.780;19:0.720
MFPT,level,0.8771,0.3333,3718,20,7,0:0.958;1:0.958;2:1.000;3:0.951;4:0.224;5:0.993;6:0.734;7:0.972;8:0.923;9:0.902;10:0.895;11:1.000;12:0.448;13:0.979;14:0.972;15:1.000;16:0.979;17:0.685;18:0.993;19:0.976
MFPT,integ,0.7393,0.3333,3718,20,6,0:0.811;1:0.783;2:1.000;3:0.881;4:0.434;5:0.657;6:0.608;7:0.769;8:0.720;9:0.839;10:0.839;11:0.122;12:0.818;13:0.776;14:0.790;15:0.867;16:0.902;17:0.601;18:0.755;19:0.811
CALCE-soh,base,0.5789,0.3333,306,18,3,0:0.000;1:1.000;2:0.641;3:0.000;4:0.825;5:0.750;6:0.000;7:0.250;8:0.724;9:1.000;10:0.800;11:0.926;12:1.000;13:0.333;14:0.778;15:0.000;16:0.500;17:0.893
CALCE-soh,pool4,0.6808,0.3333,306,18,3,0:1.000;1:0.769;2:0.385;3:0.000;4:0.600;5:0.333;6:1.000;7:0.250;8:0.793;9:1.000;10:0.800;11:0.778;12:1.000;13:0.389;14:0.963;15:1.000;16:0.444;17:0.750
CALCE-soh,pool16,0.7045,0.3333,306,18,3,0:1.000;1:0.462;2:0.615;3:0.000;4:0.525;5:0.708;6:1.000;7:0.438;8:0.621;9:1.000;10:0.600;11:0.852;12:1.000;13:0.611;14:0.778;15:1.000;16:0.722;17:0.750
CALCE-soh,even_sub,0.6476,0.3333,306,18,3,0:0.000;1:0.538;2:0.282;3:1.000;4:0.575;5:0.417;6:1.000;7:0.438;8:0.690;9:1.000;10:0.600;11:0.852;12:1.000;13:0.333;14:0.778;15:1.000;16:0.333;17:0.821
CALCE-soh,peak_sub,0.6377,0.3333,306,18,3,0:0.000;1:1.000;2:0.897;3:1.000;4:0.800;5:0.792;6:1.000;7:0.344;8:0.586;9:0.000;10:0.800;11:0.519;12:1.000;13:0.222;14:0.741;15:1.000;16:0.278;17:0.500
CALCE-soh,level,0.7822,0.3333,306,18,3,0:1.000;1:1.000;2:0.462;3:0.000;4:0.600;5:0.375;6:1.000;7:0.625;8:0.862;9:1.000;10:0.600;11:1.000;12:1.000;13:0.778;14:1.000;15:1.000;16:0.778;17:1.000
CALCE-soh,integ,0.7487,0.3333,306,18,3,0:1.000;1:1.000;2:0.846;3:0.000;4:0.775;5:0.792;6:1.000;7:0.375;8:0.621;9:1.000;10:0.600;11:0.852;12:1.000;13:0.667;14:0.815;15:1.000;16:0.278;17:0.857
HYD-cooler,base,0.5333,0.3333,90,18,3,0:1.000;1:0.600;2:0.600;3:1.000;4:0.800;5:0.000;6:0.600;7:0.000;8:0.400;9:0.200;10:0.600;11:0.600;12:0.200;13:1.000;14:0.800;15:0.200;16:0.600;17:0.400
HYD-cooler,pool4,0.4111,0.3333,90,18,3,0:0.600;1:0.000;2:0.800;3:1.000;4:0.800;5:0.000;6:0.000;7:0.200;8:0.400;9:0.200;10:0.200;11:0.200;12:0.400;13:0.600;14:0.600;15:0.200;16:0.800;17:0.400
HYD-cooler,pool16,0.5222,0.3333,90,18,3,0:1.000;1:0.400;2:1.000;3:1.000;4:0.800;5:0.200;6:0.600;7:0.400;8:0.600;9:0.400;10:0.400;11:0.600;12:0.000;13:0.200;14:0.400;15:0.400;16:0.400;17:0.600
HYD-cooler,even_sub,0.5444,0.3333,90,18,3,0:0.600;1:0.800;2:0.800;3:1.000;4:0.600;5:0.200;6:0.200;7:0.400;8:0.000;9:0.400;10:0.800;11:0.400;12:0.600;13:0.600;14:0.400;15:1.000;16:0.600;17:0.400
HYD-cooler,peak_sub,0.5778,0.3333,90,18,3,0:0.800;1:0.200;2:0.800;3:1.000;4:1.000;5:0.000;6:0.800;7:0.600;8:0.600;9:0.200;10:0.400;11:0.600;12:0.600;13:0.400;14:0.600;15:0.400;16:0.800;17:0.600
HYD-cooler,level,0.6222,0.3333,90,18,3,0:1.000;1:0.200;2:1.000;3:1.000;4:1.000;5:0.200;6:0.400;7:0.400;8:0.200;9:0.600;10:0.800;11:0.800;12:0.200;13:0.600;14:0.800;15:0.800;16:0.600;17:0.600
