bank,variant,acc,chance,n_win,n_rec,secs,folds
SEIS-depth,even_sub,0.6875,0.5000,128,16,2,0:0.875;1:0.500;2:0.500;3:1.000;4:0.375;5:1.000;6:0.875;7:0.250;8:0.750;9:0.625;10:1.000;11:0.750;12:0.250;13:0.750;14:0.875;15:0.625
SEIS-depth,peak_sub,0.6875,0.5000,128,16,2,0:1.000;1:0.750;2:0.500;3:1.000;4:0.500;5:1.000;6:0.750;7:0.125;8:1.000;9:0.250;10:0.875;11:0.375;12:0.375;13:0.875;14:1.000;15:0.625
SEIS-depth,level,0.8047,0.5000,128,16,3,0:1.000;1:0.375;2:1.000;3:1.000;4:0.750;5:1.000;6:0.875;7:0.375;8:0.750;9:0.750;10:1.000;11:0.875;12:0.500;13:1.000;14:1.000;15:0.625
SEIS-depth,integ,0.7578,0.5000,128,16,3,0:1.000;1:0.750;2:0.750;3:0.875;4:0.875;5:1.000;6:0.750;7:0.000;8:0.625;9:0.750;10:0.875;11:0.875;12:0.500;13:0.875;14:1.000;15:0.625
GRIDFREQ-area,base,0.5365,0.1667,192,24,4,0:1.000;1:1.000;2:1.000;3:1.000;4:0.500;5:0.125;6:0.875;7:0.500;8:0.375;9:0.250;10:0.000;11:0.500;12:0.750;13:1.000;14:1.000;15:0.375;16:0.875;17:0.375;18:0.000;19:0.250;20:0.375;21:0.250;22:0.500;23:0.000
GRIDFREQ-area,pool4,0.5208,0.1667,192,24,4,0:0.125;1:0.625;2:0.250;3:0.625;4:0.500;5:0.250;6:0.750;7:0.375;8:0.500;9:0.375;10:0.750;11:0.625;12:0.500;13:0.125;14:0.625;15:0.625;16:0.875;17:0.875;18:0.000;19:1.000;20:0.625;21:0.500;22:1.000;23:0.000
GRIDFREQ-area,pool16,0.2812,0.1667,192,24,4,0:0.000;1:0.000;2:0.000;3:0.000;4:0.000;5:0.000;6:0.250;7:0.000;8:0.250;9:0.500;10:0.500;11:0.375;12:0.375;13:0.125;14:0.250;15:0.000;16:0.375;17:0.875;18:0.375;19:0.625;20:0.750;21:0.500;22:0.625;23:0.000
GRIDFREQ-area,even_sub,0.2969,0.1667,192,24,4,0:0.750;1:1.000;2:0.750;3:0.875;4:0.000;5:0.250;6:0.250;7:0.250;8:0.125;9:0.250;10:0.375;11:0.250;12:0.000;13:0.250;14:0.000;15:0.125;16:0.625;17:0.125;18:0.000;19:0.125;20:0.250;21:0.125;22:0.375;23:0.000
GRIDFREQ-area,peak_sub,0.5208,0.1667,192,24,4,0:1.000;1:0.875;2:1.000;3:1.000;4:0.500;5:0.500;6:0.375;7:0.250;8:0.500;9:0.125;10:0.000;11:0.500;12:0.875;13:0.750;14:0.875;15:0.750;16:0.625;17:0.625;18:0.000;19:0.875;20:0.125;21:0.125;22:0.250;23:0.000
GRIDFREQ-area,level,0.5677,0.1667,192,24,4,0:1.000;1:1.000;2:1.000;3:1.000;4:0.375;5:0.250;6:0.875;7:0.500;8:0.500;9:0.125;10:0.375;11:0.500;12:0.750;13:1.000;14:1.000;15:0.500;16:0.750;17:0.375;18:0.000;19:0.375;20:0.625;21:0.250;22:0.500;23:0.000
GRIDFREQ-area,integ,0.5104,0.1667,192,24,4,0:1.000;1:1.000;2:1.000;3:1.000;4:0.625;5:0.125;6:0.750;7:0.250;8:0.250;9:0.250;10:0.375;11:0.375;12:0.750;13:0.625;14:0.875;15:0.625;16:0.250;17:0.500;18:0.000;19:0.125;20:0.500;21:0.125;22:0.875;23:0.000
GAS-id,base,0.1208,0.2500,240,20,4,0:0.083;1:0.083;2:0.083;3:0.167;4:0.083;5:0.000;6:0.000;7:0.167;8:0.083;9:0.167;10:0.083;11:0.083;12:0.083;13:0.250;14:0.083;15:0.333;16:0.167;17:0.000;18:0.167;19:0.250
GAS-id,pool4,0.1042,0.2500,240,20,4,0:0.250;1:0.000;2:0.000;3:0.083;4:0.000;5:0.083;6:0.000;7:0.167;8:0.167;9:0.083;10:0.083;11:0.000;12:0.083;13:0.083;14:0.083;15:0.167;16:0.250;17:0.167;18:0.167;19:0.167
GAS-id,pool16,0.1375,0.2500,240,20,4,0:0.083;1:0.167;2:0.250;3:0.000;4:0.167;5:0.000;6:0.167;7:0.000;8:0.083;9:0.250;10:0.333;11:0.083;12:0.250;13:0.167;14:0.083;15:0.167;16:0.250;17:0.167;18:0.083;19:0.000
GAS-id,even_sub,0.1792,0.2500,240,20,4,0:0.000;1:0.083;2:0.083;3:0.167;4:0.083;5:0.083;6:0.083;7:0.167;8:0.167;9:0.250;10:0.417;11:0.250;12:0.417;13:0.250;14:0.250;15:0.167;16:0.250;17:0.167;18:0.250;19:0.000
GAS-id,peak_sub,0.1625,0.2500,240,20,4,0:0.083;1:0.083;2:0.333;3:0.083;4:0.083;5:0.083;6:0.083;7:0.167;8:0.167;9:0.167;10:0.167;11:0.333;12:0.083;13:0.250;14:0.083;15:0.167;16:0.167;17:0.167;18:0.250;19:0.250
GAS-id,level,0.1250,0.2500,240,20,4,0:0.250;1:0.000;2:0.000;3:0.167;4:0.000;5:0.083;6:0.000;7:0.500;8:0.083;9:0.000;10:0.000;11:0.167;12:0.250;13:0.000;14:0.083;15:0.667;16:0.083;17:0.000;18:0.083;19:0.083
GAS-id,integ,0.1042,0.2500,240,20,3,0:0.167;1:0.083;2:0.083;3:0.083;4:0.000;5:0.167;6:0.083;7:0.000;8:0.167;9:0.083;10:0.000;11:0.417;12:0.167;13:0.250;14:0.000;15:0.083;16:0.083;17:0.083;18:0.083;19:0.000
VOLCANO-eruption,base,0.7667,0.5000,120,15,2,0:1.000;1:0.875;2:1.000;3:0.750;4:0.000;5:1.000;6:0.000;7:1.000;9:0.625;10:1.000;11:1.000;12:1.000;13:1.000;14:1.000;15:0.250
VOLCANO-eruption,pool4,0.6000,0.5000,120,15,2,0:0.500;1:0.375;2:0.625;3:1.000;4:0.750;5:0.250;6:0.000;7:0.750;9:0.625;10:1.000;11:0.750;12:0.875;13:0.875;14:0.500;15:0.125
VOLCANO-eruption,pool16,0.9000,0.5000,120,15,2,0:1.000;1:1.000;2:1.000;3:1.000;4:1.000;5:1.000;6:0.750;7:1.000;9:0.375;10:1.000;11:1.000;12:1.000;13:1.000;14:1.000;15:0.375
VOLCANO-eruption,even_sub,0.7750,0.5000,120,15,3,0:1.000;1:0.875;2:1.000;3:0.750;4:0.000;5:1.000;6:0.375;7:1.000;9:0.625;10:1.000;11:0.875;12:1.000;13:0.750;14:1.000;15:0.375
VOLCANO-eruption,peak_sub,0.7167,0.5000,120,15,2,0:1.000;1:0.750;2:1.000;3:0.250;4:0.000;5:1.000;6:0.250;7:1.000;9:0.625;10:1.000;11:0.875;12:0.750;13:1.000;14:1.000;15:0.250
VOLCANO-eruption,level,0.7500,0.5000,120,15,2,0:1.000;1:0.625;2:1.000;3:0.750;4:0.000;5:1.000;6:0.000;7:1.000;9:0.625;10:1.000;11:1.000;12:1.000;13:1.000;14:1.000;15:0.250
VOLCANO-eruption,integ,0.7167,0.5000,120,15,2,0:0.750;1:0.875;2:1.000;3:0.375;4:0.000;5:1.000;6:0.125;7:1.000;9:0.500;10:1.000;11:1.000;12:0.875;13:1.000;14:0.875;15:0.375
