bank,rec,lean,forge
PAUSEPHASE-UWE,35,0.6250,0.3750
PAUSEPHASE-UWE,36,0.6250,0.7500
PAUSEPHASE-UWE,37,0.6875,0.6875
PAUSEPHASE-UWE,38,0.4375,0.5000
PAUSEPHASE-UWE,39,0.6250,0.4375
PAUSEPHASE-UWE,40,0.7500,0.8125
PAUSEPHASE-UWE,41,0.5000,0.3750
PAUSEPHASE-UWE,42,0.6875,0.4375
PAUSEPHASE-UWE,43,0.5625,0.4375
PAUSEPHASE-UWE,44,0.5000,0.5000
PAUSEPHASE-UWE,45,0.5000,0.5625
PAUSEPHASE-UWE,46,0.6875,0.6875
PAUSEPHASE-UWE,47,0.5625,0.5000
PAUSEPHASE-UWE,48,0.6250,0.3125
PAUSEPHASE-UWE,50,0.4375,0.3750
PAUSEPHASE-RIMD,4,0.8125,0.7500
PAUSEPHASE-RIMD,8,0.6875,0.5000
PAUSEPHASE-RIMD,9,0.1875,0.5000
PAUSEPHASE-RIMD,10,0.8125,0.4375
PAUSEPHASE-RIMD,11,0.3750,0.5625
PAUSEPHASE-RIMD,12,0.5625,0.4375
PAUSEPHASE-RIMD,13,0.6250,0.8125
PAUSEPHASE-RIMD,14,0.6250,0.4375
PAUSEPHASE-RIMD,15,0.7500,0.4375
PAUSEPHASE-RIMD,16,0.4375,0.4375
PAUSEPHASE-RIMD,17,0.3750,0.3125
PAUSEPHASE-RIMD,18,0.4375,0.5000
PAUSEPHASE-RIMD,19,0.6250,0.7500
PAUSEPHASE-RIMD,21,0.6250,0.7500
PAUSEPHASE-RIMD,23,0.6250,0.7500
PAUSEPHASE-RIMD,24,0.6250,0.3125
PAUSEPHASE-RIMD,25,0.4375,0.4375
PAUSEPHASE-RIMD,26,0.6875,0.3125
PAUSEPHASE-RIMD,27,0.5625,0.6250
PAUSEPHASE-RIMD,28,0.6875,0.3750
PAUSEPHASE-RIMD,29,0.5000,0.5000
PAUSEPHASE-RIMD,30,0.3750,0.5000
PAUSEPHASE-RIMD,31,0.6875,0.7500
PAUSEPHASE-RIMD,32,0.4375,0.4375
PAUSEPHASE-RIMD,33,0.4375,0.5625
PAUSEPHASE-RIMD,34,0.7500,0.2500
PAUSEPHASE-RIMD,35,0.6250,0.5000
PAUSEPHASE-RIMD,36,0.6875,0.6250
PAUSEPHASE-RIMD,37,0.5000,0.4375
PAUSEPHASE-RIMD,38,0.6250,0.3125
PAUSEPHASE-RIMD,39,0.5000,0.3125
PAUSEPHASE-RIMD,40,0.9375,0.5000
PAUSEPHASE-RIMD,41,0.2500,0.4375
PAUSEPHASE-RIMD,42,0.7500,1.0000
PAUSEPHASE-RIMD,43,0.1875,0.5625
PAUSEPHASE-RIMD,44,0.5000,0.3125
PAUSEPHASE-RIMD,45,0.7500,0.6875
PAUSEPHASE-RIMD,46,0.4375,0.4375
PAUSEPHASE-RIMD,47,0.6875,0.4375
PAUSEPHASE-RIMD,48,0.6875,0.8125
PAUSEPHASE-RIMD,50,0.4375,0.5000
LIGO-GLITCH,0,1.0000,1.0000
LIGO-GLITCH,1,1.0000,1.0000
LIGO-GLITCH,2,1.0000,1.0000
LIGO-GLITCH,3,0.8750,1.0000
LIGO-GLITCH,4,1.0000,1.0000
LIGO-GLITCH,5,1.0000,1.0000
LIGO-GLITCH,6,1.0000,1.0000
LIGO-GLITCH,7,1.0000,1.0000
LIGO-GLITCH,8,1.0000,1.0000
LIGO-GLITCH,9,1.0000,1.0000
LIGO-GLITCH,10,1.0000,1.0000
LIGO-GLITCH,11,1.0000,1.0000
LIGO-GLITCH,12,1.0000,1.0000
LIGO-GLITCH,13,1.0000,1.0000
LIGO-GLITCH,14,1.0000,1.0000
LIGO-GLITCH,15,1.0000,1.0000
LIGO-GLITCH,16,0.8750,0.8750
LIGO-GLITCH,17,0.6250,0.5000
LIGO-GLITCH,18,0.7500,1.0000
LIGO-GLITCH,19,0.7500,0.8750
LIGO-GLITCH,20,1.0000,0.8750
LIGO-GLITCH,21,0.7500,0.8750
LIGO-GLITCH,22,1.0000,0.8750
LIGO-GLITCH,23,1.0000,1.0000
LIGO-GLITCH,24,0.8750,0.7500
LIGO-GLITCH,25,0.8750,0.7500
LIGO-GLITCH,26,0.8750,1.0000
LIGO-GLITCH,27,1.0000,0.8750
LIGO-GLITCH,28,0.8750,0.6250
LIGO-GLITCH,29,0.8750,1.0000
LIGO-GLITCH,30,1.0000,1.0000
LIGO-GLITCH,31,0.8750,1.0000
LIGO-GLITCH,0,1.0000,1.0000
LIGO-GLITCH,1,1.0000,1.0000
LIGO-GLITCH,2,1.0000,1.0000
LIGO-GLITCH,3,0.8750,1.0000
LIGO-GLITCH,4,1.0000,1.0000
LIGO-GLITCH,5,1.0000,1.0000
LIGO-GLITCH,6,1.0000,1.0000
LIGO-GLITCH,7,1.0000,1.0000
LIGO-GLITCH,8,1.0000,1.0000
LIGO-GLITCH,9,1.0000,1.0000
LIGO-GLITCH,10,1.0000,1.0000
LIGO-GLITCH,11,1.0000,1.0000
LIGO-GLITCH,12,1.0000,1.0000
LIGO-GLITCH,13,1.0000,1.0000
LIGO-GLITCH,14,1.0000,1.0000
LIGO-GLITCH,15,1.0000,1.0000
LIGO-GLITCH,16,0.8750,0.8750
LIGO-GLITCH,17,0.6250,0.5000
LIGO-GLITCH,18,0.7500,1.0000
LIGO-GLITCH,19,0.7500,0.8750
LIGO-GLITCH,20,1.0000,0.8750
LIGO-GLITCH,21,0.7500,0.8750
LIGO-GLITCH,22,1.0000,0.8750
LIGO-GLITCH,23,1.0000,1.0000
LIGO-GLITCH,24,0.8750,0.7500
LIGO-GLITCH,25,0.8750,0.7500
LIGO-GLITCH,26,0.8750,1.0000
LIGO-GLITCH,27,1.0000,0.8750
LIGO-GLITCH,28,0.8750,0.6250
LIGO-GLITCH,29,0.8750,1.0000
LIGO-GLITCH,30,1.0000,1.0000
LIGO-GLITCH,31,0.8750,1.0000
LIGO-GLITCH_KOI_FISH_WHISTLE,0,1.0000,0.8750
LIGO-GLITCH_KOI_FISH_WHISTLE,1,0.6250,0.7500
LIGO-GLITCH_KOI_FISH_WHISTLE,2,0.5000,0.7500
LIGO-GLITCH_KOI_FISH_WHISTLE,3,0.6250,0.6250
LIGO-GLITCH_KOI_FISH_WHISTLE,4,0.6250,0.8750
LIGO-GLITCH_KOI_FISH_WHISTLE,5,0.6250,0.8750
LIGO-GLITCH_KOI_FISH_WHISTLE,6,0.8750,0.7500
LIGO-GLITCH_KOI_FISH_WHISTLE,7,0.7500,0.3750
LIGO-GLITCH_KOI_FISH_WHISTLE,8,0.3750,0.0000
LIGO-GLITCH_KOI_FISH_WHISTLE,9,0.8750,0.2500
LIGO-GLITCH_KOI_FISH_WHISTLE,10,1.0000,0.7500
LIGO-GLITCH_KOI_FISH_WHISTLE,11,0.1250,0.7500
LIGO-GLITCH_KOI_FISH_WHISTLE,12,0.1250,0.3750
LIGO-GLITCH_KOI_FISH_WHISTLE,13,0.5000,0.2500
LIGO-GLITCH_KOI_FISH_WHISTLE,14,0.5000,0.8750
LIGO-GLITCH_KOI_FISH_WHISTLE,15,0.8750,1.0000
LIGO-GLITCH_KOI_FISH_WHISTLE,16,0.3750,0.8750
LIGO-GLITCH_KOI_FISH_WHISTLE,17,0.3750,1.0000
LIGO-GLITCH_KOI_FISH_WHISTLE,18,0.7500,1.0000
LIGO-GLITCH_KOI_FISH_WHISTLE,19,0.8750,1.0000
LIGO-GLITCH_KOI_FISH_WHISTLE,20,0.7500,1.0000
LIGO-GLITCH_KOI_FISH_WHISTLE,21,0.6250,0.8750
LIGO-GLITCH_KOI_FISH_WHISTLE,22,0.2500,0.8750
LIGO-GLITCH_KOI_FISH_WHISTLE,23,0.6250,1.0000
LIGO-GLITCH_KOI_FISH_WHISTLE,24,0.5000,1.0000
LIGO-GLITCH_KOI_FISH_WHISTLE,25,0.6250,1.0000
LIGO-GLITCH_KOI_FISH_WHISTLE,26,0.8750,1.0000
LIGO-GLITCH_KOI_FISH_WHISTLE,27,0.7500,1.0000
LIGO-GLITCH_KOI_FISH_WHISTLE,28,0.6250,1.0000
LIGO-GLITCH_KOI_FISH_WHISTLE,29,0.8750,1.0000
LIGO-GLITCH_KOI_FISH_WHISTLE,30,0.6250,1.0000
